BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Age,Period,ComplaintType
76036.25,114.0,10.37,6.0,14.0,12919.0,104.0,1.0,12.0,6072.0,7650.0,10.0,2320.0,22.0,58.0,0
76036.25,96.0,10.37,6.0,14.0,3945.0,99.67,1.0,12.0,6072.0,7650.0,10.0,2320.0,84.0,89.0,2
7252.0,86.0,3.96,6.0,14.0,1833.0,93.5,1.0,4.5,6072.0,3096.0,10.0,2320.0,85.0,117.0,1
9401.0,77.0,3.6,6.0,6.5,5075.0,39.75,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,0
76036.25,84.0,10.37,6.0,14.0,7120.0,89.17,1.0,12.0,6072.0,31531.0,10.0,2320.0,19.0,33.0,2
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,5.0,37.0,0
9401.0,77.0,3.6,6.0,14.0,2048.0,92.39,1.0,5.0,6072.0,7650.0,10.0,2320.0,78.0,110.0,1
7246.0,85.25,3.29,6.0,14.0,2203.0,85.25,1.0,3.0,6072.0,3622.0,10.0,1812.0,0.0,37.0,3
7875.0,85.0,3.89,6.0,14.0,2025.0,85.25,1.0,4.0,6072.0,2520.0,10.0,2320.0,93.0,100.0,4
7540.0,79.0,4.0,6.0,14.0,1885.0,79.0,1.0,4.0,6072.0,7650.0,10.0,2320.0,88.0,120.0,3
8660.0,73.0,5.14,6.0,14.0,1685.0,73.17,1.0,4.0,6072.0,3590.0,10.0,2320.0,88.0,120.0,1
7336.0,73.0,3.99,6.0,14.0,1839.0,73.0,1.0,4.0,6072.0,5502.0,10.0,1834.0,68.0,100.0,4
12000.0,73.58,5.0,6.0,14.0,2399.0,73.58,1.0,5.0,2400.0,7650.0,10.0,2320.0,68.0,100.0,0
76036.25,88.0,10.37,6.0,14.0,8409.0,94.75,1.0,12.0,6072.0,7650.0,10.0,2320.0,76.0,113.0,0
24238.0,78.0,7.49,6.0,14.0,3234.0,76.5,1.0,7.0,6072.0,7650.0,10.0,1600.0,68.0,100.0,3
3469.0,79.0,2.4,6.0,14.0,1443.0,77.67,1.0,3.0,2313.0,7650.0,10.0,1156.0,162.0,181.0,3
6008.0,78.0,4.0,6.0,14.0,1502.0,79.25,1.0,4.0,6072.0,4760.0,10.0,1248.0,75.0,107.0,0
8690.0,83.0,5.0,6.0,14.0,1738.0,83.08,1.0,5.5,6072.0,7190.0,10.0,1500.0,88.0,120.0,3
10944.0,83.67,6.0,6.0,14.0,1824.0,83.67,1.0,5.0,6072.0,5472.0,10.0,2320.0,67.0,120.0,0
76036.25,112.0,10.37,6.0,14.0,16942.0,112.17,1.0,12.0,6072.0,7650.0,10.0,2320.0,76.0,92.0,0
76036.25,72.42,10.37,6.0,14.0,9010.0,72.42,1.0,12.0,6072.0,7650.0,10.0,2320.0,64.0,100.0,0
76036.25,99.0,7.7,6.0,14.0,11398.0,86.25,1.0,8.0,6072.0,7650.0,10.0,2320.0,48.0,58.0,0
61238.0,77.0,6.69,6.0,14.0,9150.0,126.93,1.0,8.0,6072.0,31531.0,10.0,2320.0,77.0,100.0,4
